date,CD,C,S,ATW,ES,PA,SB,PL,GC,CL,AD,TU
2000-10-10,-0.0005384,-0.0018692,-0.0030306,0.0,0.0073012,-0.0001224,0.0063632,-0.0012824,-0.0047706,0.0150356,0.0008988,0.0
2000-10-11,0.000778,-0.0006964,0.0088302,0.0,0.0,0.0021138,0.0018702,0.00249,0.0045528,0.0020508,-0.0006744,0.0
2000-10-12,0.0018008,-0.0032184,0.0028732,0.0,0.0173298,0.0013374,-0.000621,0.0019808,-0.0124914,0.0287828,0.0014616,0.0
2000-10-13,-0.0007212,0.0002282,0.0070652,0.0,-0.0078606,-0.0008114,0.0110772,-0.00106,0.0085872,-0.0185212,0.0024844,0.0
2000-10-16,0.0033776,0.0011448,0.0006296,0.0,-0.0133008,0.0,0.013863,-0.0057012,0.0012996,-0.0291312,0.0047096,0.0
2000-10-17,0.0001212,-0.0006876,-0.0029288,0.0,0.0124332,0.0,-0.0096096,-0.002448,0.0010854,0.0003756,0.0017214,0.0
2000-10-18,-0.0013308,0.0009174,0.0004172,0.0,0.0175836,0.0,0.0006054,0.0037376,0.0011608,-0.0008764,0.0016116,0.0
2000-10-19,-0.0010856,-0.0002298,-0.002496,0.0,-0.0331914,0.0,-0.0066906,0.0111472,0.000436,-0.0034772,-0.0027594,0.0
2000-10-20,0.0006632,-0.0016138,0.0020792,0.0,-0.004206,0.0,-0.0018378,-0.0023728,-0.001452,0.017349,-0.0063906,0.0
2000-10-23,-0.0012048,-0.001627,0.0052452,0.0,0.0023824,0.00071,-0.0086508,-0.008352,0.0018884,0.0043514,0.0029586,0.0
